task,case_id,mutation,accepted
entity_resolution,q1-safe,cross_task_pair,False
entity_resolution,q1-safe,wrong_provenance,False
entity_resolution,q1-safe,forged_observation,False
entity_resolution,q1-safe,wrong_action,False
entity_resolution,q1-safe,invalid_decision,False
entity_resolution,q1-ask,cross_task_pair,False
entity_resolution,q1-ask,wrong_provenance,False
entity_resolution,q1-ask,forged_observation,False
entity_resolution,q1-ask,wrong_action,False
entity_resolution,q1-ask,invalid_decision,False
entity_resolution,q1-reject,cross_task_pair,False
entity_resolution,q1-reject,wrong_provenance,False
entity_resolution,q1-reject,forged_observation,False
entity_resolution,q1-reject,wrong_action,False
entity_resolution,q1-reject,invalid_decision,False
normalization,q2-safe,cross_task_pair,False
normalization,q2-safe,wrong_provenance,False
normalization,q2-safe,forged_observation,False
normalization,q2-safe,wrong_action,False
normalization,q2-safe,invalid_decision,False
normalization,q2-ask,cross_task_pair,False
normalization,q2-ask,wrong_provenance,False
normalization,q2-ask,forged_observation,False
normalization,q2-ask,wrong_action,False
normalization,q2-ask,invalid_decision,False
normalization,q2-reject,cross_task_pair,False
normalization,q2-reject,wrong_provenance,False
normalization,q2-reject,forged_observation,False
normalization,q2-reject,wrong_action,False
normalization,q2-reject,invalid_decision,False
metric_mapping,q3-safe,cross_task_pair,False
metric_mapping,q3-safe,wrong_provenance,False
metric_mapping,q3-safe,forged_observation,False
metric_mapping,q3-safe,wrong_action,False
metric_mapping,q3-safe,invalid_decision,False
metric_mapping,q3-ask,cross_task_pair,False
metric_mapping,q3-ask,wrong_provenance,False
metric_mapping,q3-ask,forged_observation,False
metric_mapping,q3-ask,wrong_action,False
metric_mapping,q3-ask,invalid_decision,False
metric_mapping,q3-reject,cross_task_pair,False
metric_mapping,q3-reject,wrong_provenance,False
metric_mapping,q3-reject,forged_observation,False
metric_mapping,q3-reject,wrong_action,False
metric_mapping,q3-reject,invalid_decision,False
